,key,Datetime,BidPrice_0,BidVolume_0,AskPrice_0,AskVolume_0,BidPrice_1,BidVolume_1,AskPrice_1,AskVolume_1,BidPrice_2,BidVolume_2,AskPrice_2,AskVolume_2,BidPrice_3,BidVolume_3,AskPrice_3,AskVolume_3,BidPrice_4,BidVolume_4,AskPrice_4,AskVolume_4,BidPrice_5,BidVolume_5,AskPrice_5,AskVolume_5,BidPrice_6,BidVolume_6,AskPrice_6,AskVolume_6,BidPrice_7,BidVolume_7,AskPrice_7,AskVolume_7,BidPrice_8,BidVolume_8,AskPrice_8,AskVolume_8,BidPrice_9,BidVolume_9,AskPrice_9,AskVolume_9
0,Germany_Baseload#19#0#10000106,2021-10-19 06:00:01.885000,115.0,3.0,,,52.0,1.0,,,48.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Germany_Baseload#19#0#10000106,2021-10-19 06:01:41.227000,115.0,3.0,132.0,1.0,52.0,1.0,,,48.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Germany_Baseload#19#0#10000106,2021-10-19 06:01:43.730000,115.0,3.0,127.0,1.0,52.0,1.0,132.0,1.0,48.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Germany_Baseload#19#0#10000106,2021-10-19 06:05:01.359000,115.0,3.0,127.0,2.0,52.0,1.0,132.0,1.0,48.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Germany_Baseload#19#0#10000106,2021-10-19 06:05:31.012000,120.0,1.0,127.0,2.0,115.0,3.0,132.0,1.0,52.0,1.0,,,48.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Germany_Baseload#19#0#10000106,2021-10-19 06:05:43.351000,120.0,1.0,127.0,1.0,115.0,3.0,132.0,1.0,52.0,1.0,,,48.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Germany_Baseload#19#0#10000106,2021-10-19 06:11:01.533000,120.0,1.0,125.5,2.0,115.0,3.0,127.0,1.0,52.0,1.0,132.0,1.0,48.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Germany_Baseload#19#0#10000106,2021-10-19 06:11:27.228000,120.0,1.0,125.6,2.0,115.0,3.0,127.0,1.0,52.0,1.0,132.0,1.0,48.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Germany_Baseload#19#0#10000106,2021-10-19 06:11:30.730000,120.0,4.0,125.6,2.0,52.0,1.0,127.0,1.0,48.0,3.0,132.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Germany_Baseload#19#0#10000106,2021-10-19 06:11:35.359000,120.0,4.0,125.55,2.0,52.0,1.0,127.0,1.0,48.0,3.0,132.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Germany_Baseload#19#0#10000106,2021-10-19 06:12:23.367000,120.0,4.0,125.6,2.0,52.0,1.0,127.0,1.0,48.0,3.0,132.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Germany_Baseload#19#0#10000106,2021-10-19 06:13:01.360000,120.0,4.0,125.55,2.0,52.0,1.0,127.0,1.0,48.0,3.0,132.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Germany_Baseload#19#0#10000106,2021-10-19 06:13:12.430000,120.0,4.0,125.5,2.0,52.0,1.0,127.0,1.0,48.0,3.0,132.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Germany_Baseload#19#0#10000106,2021-10-19 06:13:23.452000,120.0,4.0,125.6,2.0,52.0,1.0,127.0,1.0,48.0,3.0,132.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Germany_Baseload#19#0#10000106,2021-10-19 06:13:30.148000,120.0,4.0,125.55,2.0,52.0,1.0,127.0,1.0,48.0,3.0,132.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Germany_Baseload#19#0#10000106,2021-10-19 06:13:33.977000,120.0,4.0,125.55,2.0,52.0,1.0,125.6,2.0,48.0,3.0,127.0,1.0,,,132.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
16,Germany_Baseload#19#0#10000106,2021-10-19 06:13:33.978000,120.0,4.0,125.6,2.0,52.0,1.0,127.0,1.0,48.0,3.0,132.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Germany_Baseload#19#0#10000106,2021-10-19 06:13:47.505000,120.0,4.0,125.55,2.0,52.0,1.0,127.0,1.0,48.0,3.0,132.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Germany_Baseload#19#0#10000106,2021-10-19 06:14:40.880000,120.0,4.0,125.5,2.0,52.0,1.0,127.0,1.0,48.0,3.0,132.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Germany_Baseload#19#0#10000106,2021-10-19 06:16:15.086000,120.0,4.0,125.6,2.0,52.0,1.0,127.0,1.0,48.0,3.0,132.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Germany_Baseload#19#0#10000106,2021-10-19 06:16:20.232000,120.0,4.0,125.55,2.0,52.0,1.0,127.0,1.0,48.0,3.0,132.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Germany_Baseload#19#0#10000106,2021-10-19 06:16:51.352000,120.0,4.0,125.55,2.0,52.0,1.0,127.0,1.0,48.0,3.0,132.0,1.0,,,132.15,2.0,,,,,,,,,,,,,,,,,,,,,,,,
22,Germany_Baseload#19#0#10000106,2021-10-19 06:16:52.753000,120.0,4.0,125.6,2.0,52.0,1.0,127.0,1.0,48.0,3.0,132.0,1.0,,,132.15,2.0,,,,,,,,,,,,,,,,,,,,,,,,
23,Germany_Baseload#19#0#10000106,2021-10-19 06:17:11.034000,121.5,1.0,125.6,2.0,120.0,4.0,127.0,1.0,52.0,1.0,132.0,1.0,48.0,3.0,132.15,2.0,,,,,,,,,,,,,,,,,,,,,,,,
24,Germany_Baseload#19#0#10000106,2021-10-19 06:17:15.936000,121.5,1.0,125.6,2.0,120.0,4.0,127.0,1.0,114.0,1.0,132.0,1.0,52.0,1.0,132.15,2.0,48.0,3.0,,,,,,,,,,,,,,,,,,,,,,
25,Germany_Baseload#19#0#10000106,2021-10-19 06:17:23.524000,121.5,1.0,125.55,2.0,120.0,4.0,125.6,2.0,114.0,1.0,127.0,1.0,52.0,1.0,132.0,1.0,48.0,3.0,132.15,2.0,,,,,,,,,,,,,,,,,,,,
26,Germany_Baseload#19#0#10000106,2021-10-19 06:17:23.525000,121.5,1.0,125.55,2.0,120.0,4.0,127.0,1.0,114.0,1.0,132.0,1.0,52.0,1.0,132.15,2.0,48.0,3.0,,,,,,,,,,,,,,,,,,,,,,
27,Germany_Baseload#19#0#10000106,2021-10-19 06:17:44.625000,121.5,1.0,125.5,2.0,120.0,4.0,127.0,1.0,114.0,1.0,132.0,1.0,52.0,1.0,132.15,2.0,48.0,3.0,,,,,,,,,,,,,,,,,,,,,,
28,Germany_Baseload#19#0#10000106,2021-10-19 06:18:07.155000,121.5,1.0,125.45,2.0,120.0,4.0,127.0,1.0,114.0,1.0,132.0,1.0,52.0,1.0,132.15,2.0,48.0,3.0,,,,,,,,,,,,,,,,,,,,,,
29,Germany_Baseload#19#0#10000106,2021-10-19 06:18:13.147000,121.5,1.0,125.4,2.0,120.0,4.0,127.0,1.0,114.0,1.0,132.0,1.0,52.0,1.0,132.15,2.0,48.0,3.0,,,,,,,,,,,,,,,,,,,,,,
30,Germany_Baseload#19#0#10000106,2021-10-19 06:18:31.752000,121.5,1.0,125.4,2.0,120.0,1.0,127.0,1.0,116.0,3.0,132.0,1.0,114.0,1.0,132.15,2.0,52.0,1.0,,,48.0,3.0,,,,,,,,,,,,,,,,,,
31,Germany_Baseload#19#0#10000106,2021-10-19 06:18:44.565000,121.5,1.0,125.4,2.0,120.0,1.0,127.0,1.0,116.0,4.0,132.0,1.0,114.0,1.0,132.15,2.0,52.0,1.0,,,48.0,3.0,,,,,,,,,,,,,,,,,,
32,Germany_Baseload#19#0#10000106,2021-10-19 06:21:18.247000,121.5,1.0,125.4,2.0,120.0,1.0,127.0,1.0,118.5,1.0,132.0,1.0,116.0,4.0,132.15,2.0,114.0,1.0,,,52.0,1.0,,,48.0,3.0,,,,,,,,,,,,,,
33,Germany_Baseload#19#0#10000106,2021-10-19 06:22:11.677000,121.0,1.0,125.4,2.0,120.0,1.0,127.0,1.0,118.5,1.0,132.0,1.0,116.0,4.0,132.15,2.0,114.0,1.0,,,52.0,1.0,,,48.0,3.0,,,,,,,,,,,,,,
34,Germany_Baseload#19#0#10000106,2021-10-19 06:24:01.485000,121.0,1.0,125.6,2.0,120.0,1.0,127.0,1.0,118.5,1.0,132.0,1.0,116.0,4.0,132.15,2.0,114.0,1.0,,,52.0,1.0,,,48.0,3.0,,,,,,,,,,,,,,
35,Germany_Baseload#19#0#10000106,2021-10-19 06:24:16.281000,121.0,1.0,122.0,1.0,120.0,1.0,125.6,2.0,118.5,1.0,127.0,1.0,116.0,4.0,132.0,1.0,114.0,1.0,132.15,2.0,52.0,1.0,,,48.0,3.0,,,,,,,,,,,,,,
36,Germany_Baseload#19#0#10000106,2021-10-19 06:24:16.490000,121.0,1.0,122.0,1.0,120.0,1.0,127.0,1.0,118.5,1.0,132.0,1.0,116.0,4.0,132.15,2.0,114.0,1.0,,,52.0,1.0,,,48.0,3.0,,,,,,,,,,,,,,
37,Germany_Baseload#19#0#10000106,2021-10-19 06:24:23.287000,120.0,1.0,122.0,1.0,118.5,1.0,127.0,1.0,116.0,4.0,132.0,1.0,114.0,1.0,132.15,2.0,52.0,1.0,,,48.0,3.0,,,,,,,,,,,,,,,,,,
38,Germany_Baseload#19#0#10000106,2021-10-19 06:25:15.342000,120.0,1.0,122.0,1.0,118.5,1.0,127.0,1.0,116.0,4.0,132.0,1.0,114.0,1.0,132.15,2.0,52.0,1.0,133.4,5.0,48.0,3.0,,,,,,,,,,,,,,,,,,
39,Germany_Baseload#19#0#10000106,2021-10-19 06:25:17.777000,120.0,1.0,122.0,1.0,118.5,1.0,127.0,1.0,116.0,4.0,132.0,1.0,114.0,1.0,132.15,2.0,52.0,1.0,,,48.0,3.0,,,,,,,,,,,,,,,,,,
40,Germany_Baseload#19#0#10000106,2021-10-19 06:25:19.350000,120.0,1.0,122.0,1.0,118.5,1.0,127.0,1.0,116.0,4.0,132.0,1.0,114.0,1.0,132.15,2.0,52.0,1.0,133.4,5.0,48.0,3.0,,,,,,,,,,,,,,,,,,
41,Germany_Baseload#19#0#10000106,2021-10-19 06:25:20.357000,120.0,1.0,122.0,1.0,118.5,1.0,127.0,1.0,116.0,4.0,132.0,1.0,114.0,1.0,132.15,2.0,52.0,1.0,,,48.0,3.0,,,,,,,,,,,,,,,,,,
42,Germany_Baseload#19#0#10000106,2021-10-19 06:25:28.420000,120.0,1.0,122.0,1.0,118.5,1.0,127.0,1.0,116.0,4.0,132.0,1.0,114.0,1.0,132.15,2.0,52.0,1.0,133.4,5.0,48.0,3.0,,,,,,,,,,,,,,,,,,
43,Germany_Baseload#19#0#10000106,2021-10-19 06:25:32.401000,120.0,1.0,122.0,1.0,118.5,1.0,127.0,1.0,116.0,4.0,132.0,1.0,114.0,1.0,132.15,2.0,52.0,1.0,,,48.0,3.0,,,,,,,,,,,,,,,,,,
44,Germany_Baseload#19#0#10000106,2021-10-19 06:25:37.251000,120.0,1.0,122.0,1.0,118.5,1.0,127.0,1.0,116.0,4.0,132.0,1.0,114.0,1.0,132.15,2.0,52.0,1.0,133.4,5.0,48.0,3.0,,,,,,,,,,,,,,,,,,
45,Germany_Baseload#19#0#10000106,2021-10-19 06:25:40.686000,120.0,1.0,122.0,1.0,118.5,1.0,127.0,1.0,116.0,4.0,132.0,1.0,114.0,1.0,132.15,2.0,52.0,1.0,,,48.0,3.0,,,,,,,,,,,,,,,,,,
46,Germany_Baseload#19#0#10000106,2021-10-19 06:25:46.157000,120.0,1.0,122.0,1.0,118.5,1.0,127.0,1.0,116.0,4.0,132.0,1.0,114.0,1.0,132.15,2.0,52.0,1.0,133.4,5.0,48.0,3.0,,,,,,,,,,,,,,,,,,
47,Germany_Baseload#19#0#10000106,2021-10-19 06:25:47.783000,120.0,1.0,121.0,1.0,118.5,1.0,122.0,1.0,116.0,4.0,127.0,1.0,114.0,1.0,132.0,1.0,52.0,1.0,132.15,2.0,48.0,3.0,133.4,5.0,,,,,,,,,,,,,,,,
48,Germany_Baseload#19#0#10000106,2021-10-19 06:25:48.177000,120.0,1.0,121.0,1.0,118.5,1.0,122.0,1.0,116.0,4.0,127.0,1.0,114.0,1.0,132.0,1.0,52.0,1.0,132.15,2.0,48.0,3.0,,,,,,,,,,,,,,,,,,
