,DateTime,Action,Volume,Price,AggressorAction
0,2021-10-06T06:20:55.597Z,Update,1.0,166.00,Sell
1,2021-10-06T06:21:02.568Z,Update,1.0,167.00,Sell
2,2021-10-06T06:21:04.219Z,Update,1.0,167.00,Sell
3,2021-10-06T06:21:04.323Z,Update,1.0,167.00,Sell
4,2021-10-06T06:23:25.251Z,Update,1.0,167.00,Sell
5,2021-10-06T06:25:21.308Z,Update,1.0,167.00,Sell
6,2021-10-06T06:27:50.627Z,Update,1.0,167.00,Sell
7,2021-10-06T06:29:10Z,Insert,1.0,167.50,Sell
8,2021-10-06T06:29:17Z,Insert,1.0,168.00,Sell
9,2021-10-06T06:29:29Z,Insert,1.0,168.00,Sell
10,2021-10-06T06:29:32.688Z,Update,1.0,168.00,Buy
11,2021-10-06T06:30:14.171Z,Update,1.0,168.00,Buy
12,2021-10-06T06:33:29.008Z,Insert,2.0,168.85,Buy
13,2021-10-06T06:34:04Z,Insert,2.0,170.00,Sell
14,2021-10-06T06:34:35Z,Insert,1.0,168.50,Sell
15,2021-10-06T06:39:29.301Z,Update,1.0,165.00,Sell
16,2021-10-06T06:39:32.492Z,Update,2.0,166.00,Sell
17,2021-10-06T06:40:32Z,Insert,2.0,165.00,Sell
18,2021-10-06T06:40:38.567Z,Update,3.0,165.00,Sell
19,2021-10-06T06:40:38.607Z,Update,1.0,165.00,Sell
20,2021-10-06T06:40:38Z,Insert,1.0,165.00,Sell
21,2021-10-06T06:41:47.284Z,Insert,1.0,165.00,Sell
22,2021-10-06T06:41:47.284Z,Update,1.0,165.00,Sell
23,2021-10-06T06:41:47.284Z,Insert,1.0,165.00,Buy
24,2021-10-06T06:43:39Z,Insert,1.0,164.99,Sell
25,2021-10-06T06:43:42.825Z,Update,1.0,165.00,Sell
26,2021-10-06T06:43:42.825Z,Insert,1.0,165.00,Sell
27,2021-10-06T06:44:21Z,Insert,1.0,166.00,Sell
28,2021-10-06T06:44:21Z,Insert,1.0,166.00,Buy
29,2021-10-06T06:44:21Z,Update,1.0,166.00,Sell
30,2021-10-06T06:47:17.905Z,Update,3.0,166.00,Buy
