,DateTime,Action,Volume,Price,AggressorAction,AggressorBroker
0,2021-10-21T06:29:07Z,Insert,1.0,127.00,Sell,EEX
1,2021-10-21T06:29:12.97Z,Update,1.0,126.50,Buy,Tradition
2,2021-10-21T06:58:04.274Z,Update,1.0,125.50,Sell,Griffin Markets Europe SAS
3,2021-10-21T06:59:36Z,Insert,1.0,125.50,Sell,EEX
4,2021-10-21T07:01:08.145Z,Update,1.0,125.50,Sell,CIMD
5,2021-10-21T07:01:43Z,Insert,1.0,125.25,Sell,EEX
6,2021-10-21T07:06:40Z,Insert,1.0,126.00,Sell,EEX
7,2021-10-21T07:11:52.294Z,Update,1.0,126.00,Sell,Tullett Prebon
8,2021-10-21T07:13:43.148Z,Update,1.0,125.50,Sell,Marex Spectron
9,2021-10-21T07:13:54.678Z,Update,1.0,125.50,Sell,Tullett Prebon
10,2021-10-21T07:15:13Z,Insert,1.0,125.25,Sell,EEX
11,2021-10-21T07:15:15.797Z,Update,1.0,125.10,Sell,Tradition
12,2021-10-21T07:15:33Z,Insert,1.0,124.50,Sell,EEX
13,2021-10-21T07:15:59Z,Insert,1.0,124.50,Sell,EEX
14,2021-10-21T07:16:14.333Z,Update,1.0,124.00,Sell,Marex Spectron
15,2021-10-21T07:17:12Z,Insert,1.0,124.00,Sell,EEX
16,2021-10-21T07:38:16Z,Insert,1.0,124.50,Sell,EEX
17,2021-10-21T07:43:32Z,Insert,1.0,124.00,Sell,EEX
18,2021-10-21T07:44:18.208Z,Update,1.0,123.55,Sell,Tradition
19,2021-10-21T07:44:33.835Z,Update,1.0,123.50,Sell,CIMD
20,2021-10-21T07:46:31.1Z,Update,1.0,123.25,Sell,GFI
21,2021-10-21T07:47:05Z,Insert,1.0,123.25,Sell,EEX
22,2021-10-21T07:47:09Z,Insert,1.0,123.25,Sell,EEX
23,2021-10-21T07:48:00Z,Update,4.0,123.00,Sell,Marex Spectron
24,2021-10-21T07:48:50.44Z,Update,1.0,123.00,Sell,Marex Spectron
25,2021-10-21T07:48:53Z,Insert,1.0,123.00,Sell,EEX
26,2021-10-21T07:51:15Z,Insert,1.0,123.25,Sell,EEX
27,2021-10-21T07:51:17Z,Insert,1.0,123.25,Sell,EEX
28,2021-10-21T07:51:18Z,Insert,1.0,123.25,Sell,EEX
29,2021-10-21T07:51:22Z,Insert,1.0,123.25,Sell,EEX
30,2021-10-21T07:51:24Z,Insert,1.0,123.25,Sell,EEX
31,2021-10-21T07:51:24Z,Insert,1.0,123.25,Sell,EEX
32,2021-10-21T07:51:24Z,Insert,1.0,123.25,Sell,EEX
33,2021-10-21T07:51:44Z,Insert,1.0,123.25,Sell,EEX
34,2021-10-21T08:02:56Z,Insert,1.0,123.25,Sell,EEX
35,2021-10-21T08:03:29Z,Insert,3.0,123.25,Sell,EEX
36,2021-10-21T08:03:32Z,Insert,3.0,123.25,Sell,EEX
37,2021-10-21T08:17:32.962Z,Update,1.0,122.75,Sell,Tradition
38,2021-10-21T08:17:38Z,Insert,1.0,122.60,Sell,EEX
39,2021-10-21T08:17:49Z,Insert,1.0,122.50,Sell,EEX
40,2021-10-21T08:18:21Z,Insert,1.0,122.50,Sell,EEX
41,2021-10-21T08:20:26Z,Insert,1.0,122.50,Sell,EEX
42,2021-10-21T08:22:47Z,Insert,1.0,122.60,Sell,EEX
43,2021-10-21T08:23:00Z,Insert,1.0,122.85,Sell,EEX
44,2021-10-21T08:24:00Z,Update,2.0,122.95,Sell,Marex Spectron
45,2021-10-21T08:24:59Z,Insert,1.0,123.00,Sell,EEX
46,2021-10-21T08:25:00Z,Update,2.0,122.95,Sell,Marex Spectron
47,2021-10-21T08:28:19Z,Insert,1.0,123.15,Sell,EEX
48,2021-10-21T08:28:21Z,Insert,1.0,123.15,Sell,EEX
49,2021-10-21T08:28:24Z,Insert,1.0,123.15,Sell,EEX
50,2021-10-21T08:28:29.38Z,Update,1.0,123.20,Sell,Tradition
51,2021-10-21T08:30:01Z,Insert,1.0,123.15,Sell,EEX
52,2021-10-21T08:31:25Z,Insert,1.0,123.00,Sell,EEX
53,2021-10-21T08:31:28.812Z,Update,1.0,123.00,Buy,Marex Spectron
54,2021-10-21T08:31:29Z,Insert,1.0,122.75,Sell,EEX
