,Date,DF type,Lambda,Mu,Delta,MeanSpread,Volatility,SimSpread,SimVolatility
0,1/10,best_matching.csv,0.005129706566052667,0.08118596478731109,0.15212108298373975,38.0429172510519,7.261730093948644,89.455106,8.712540434151318
1,4/10,best_matching.csv,0.004681204173905137,0.10426935007873346,0.15134796181403712,47.15006483555346,9.832316481465025,104.667018,9.71994066105822
2,5/10,best_matching.csv,0.0031802140309333776,0.14453566249626226,0.16386298935544735,71.28600777753319,9.05763453240254,176.125386,17.132190622448462
3,6/10,best_matching.csv,0.0015913140316524733,0.08918221472413065,0.17069592479152415,151.2275723703067,26.366326254479393,314.77131,30.41852564759517
4,7/10,best_matching.csv,0.0019847890704453677,0.13766939718856464,0.13032031330526836,126.51283388377078,12.75029909051825,243.715792,20.314636641321542
5,8/10,best_matching.csv,0.002298155764187291,0.09959784491452646,0.14332836417611206,93.74254495788753,12.014150497636187,201.773586,18.5608665883772
6,11/10,best_matching.csv,0.003214404003120407,0.11528408691241748,0.1739579226328361,71.08870281010502,6.142190827531891,171.669006,16.89354710485242
7,12/10,best_matching.csv,0.00527660872515756,0.10589991245568967,0.14147909513315304,44.29276269017489,3.8723407330874897,90.250564,7.829011692854225
8,13/10,best_matching.csv,0.005523838016874119,0.08421901855554385,0.14785122552863844,46.91454208802165,4.6647431933418435,81.005996,6.798414148672459
9,14/10,best_matching.csv,0.004211880506372071,0.09695911756336338,0.1630743182745876,54.766883886255904,6.511476677966218,118.586892,11.161157361262644
10,15/10,best_matching.csv,0.0036483415681614444,0.09149420353263936,0.16444122608088596,63.129774072081766,7.353800329568051,139.082232,13.061821225324875
11,18/10,best_matching.csv,0.002270578497047595,0.07764888553844077,0.16372958229532614,94.79870387514879,13.643395062666002,216.009738,20.924994067161727
12,19/10,best_matching.csv,0.0031164341415712785,0.08632390978675593,0.15572397630842463,71.42106638787246,7.6210078608790095,151.566162,14.042359199069926
13,20/10,best_matching.csv,0.0037557505394311325,0.08659445859286306,0.17951552607454307,52.202386751095965,6.0725315531554225,140.949826,14.79572817833393
14,21/10,best_matching.csv,0.0042861639816074385,0.08878042459846008,0.1695564375670648,48.62171398527865,12.405543725272278,119.852364,11.879282248296546
15,22/10,best_matching.csv,0.0032078608630448915,0.08591779045380399,0.23106059897494477,51.922166321396865,7.327349676790922,202.75473,26.56872233085386
16,25/10,best_matching.csv,0.004697433913385894,0.07398104466828169,0.18350584199275058,36.204312865497066,3.045570239017583,110.808644,12.589580989655651
17,26/10,best_matching.csv,0.00407559054897326,0.07573854630055735,0.13976998380898054,44.240255591054314,3.365641960035702,102.667086,10.04294708845827
18,28/10,best_matching.csv,0.005586541068853229,0.07978888609082514,0.17574608554074964,37.21204224386231,6.80467240427432,93.054908,9.442345011476684
19,29/10,best_matching.csv,0.0046198385108966004,0.10186400462634865,0.15374536005915376,43.61042793900639,5.535870979126968,105.406638,10.30562491612274
20,1/10,tempo.csv,0.004945023321581726,0.0882614149293634,0.15273071927133872,38.0429172510519,7.261730093948644,94.056312,9.324290690706386
21,4/10,tempo.csv,0.0044629443683140224,0.1523454048594461,0.1571521621728056,47.15006483555346,9.832316481465025,128.094924,12.715476942164132
22,5/10,tempo.csv,0.00303110672507436,0.17779307727817784,0.16673016600137294,71.28600777753319,9.05763453240254,200.380974,20.251567032008523
23,6/10,tempo.csv,0.0015477569375094476,0.10907346970133418,0.16728506935652354,151.2275723703067,26.366326254479393,346.976618,33.292514688486186
24,7/10,tempo.csv,0.0019096026256044936,0.16281329155314028,0.1313990122594241,126.51283388377078,12.75029909051825,269.757586,23.468959384346576
25,8/10,tempo.csv,0.002231675447816786,0.1071452946580916,0.148102328108128,93.74254495788753,12.014150497636187,220.004648,20.952726780386342
26,11/10,tempo.csv,0.0031364601621136075,0.11875978737354308,0.18078570823516305,71.08870281010502,6.142190827531891,185.92066,18.63482099493062
27,12/10,tempo.csv,0.005141645960735214,0.11962297924707725,0.13984758242101336,44.29276269017489,3.8723407330874897,93.170562,8.354086370245293
28,13/10,tempo.csv,0.005427319341848092,0.09134458731232925,0.14816076125867766,46.91454208802165,4.6647431933418435,85.809848,7.249528819953489
29,14/10,tempo.csv,0.004126773720559739,0.15136007322725456,0.16183113806715546,54.766883886255904,6.511476677966218,139.025256,13.49734999386597
30,15/10,tempo.csv,0.003535282115512818,0.10149106878594684,0.16788538759000488,63.129774072081766,7.353800329568051,149.803682,14.53658199593124
31,18/10,tempo.csv,0.0022075392997002578,0.0818307717551824,0.16536261754033132,94.79870387514879,13.643395062666002,221.079996,21.54901103809067
32,19/10,tempo.csv,0.003042918259257289,0.08893650453539034,0.16073457571546335,71.42106638787246,7.6210078608790095,161.257514,15.674221475481254
33,20/10,tempo.csv,0.003642142427028411,0.10328318594603601,0.17710416206642432,52.202386751095965,6.0725315531554225,149.996364,15.847724767321036
34,21/10,tempo.csv,0.004142783407133737,0.13665127642029043,0.16388444285841566,48.62171398527865,12.405543725272278,134.569934,14.101494821624849
35,22/10,tempo.csv,0.0030656053923998855,0.12393613416086524,0.22987476643719063,51.922166321396865,7.327349676790922,224.036994,30.062424070568262
36,25/10,tempo.csv,0.0045630386651827545,0.09567748327966312,0.1860948345483607,36.204312865497066,3.045570239017583,121.784498,14.355953858480543
37,26/10,tempo.csv,0.0039214939050094735,0.12477860323239282,0.13758407024392202,44.240255591054314,3.365641960035702,124.550472,12.604186297854554
38,28/10,tempo.csv,0.0053971667953327815,0.11034384883626633,0.17893887446917695,37.21204224386231,6.80467240427432,104.8022,11.117727070211357
39,29/10,tempo.csv,0.00433628983601826,0.1514751389594736,0.16115729912891427,43.61042793900639,5.535870979126968,133.075104,14.250946097678193
40,1/10,tempo_prezzo.csv,0.005265714550964132,0.06816380559150687,0.15888861093078555,38.0429172510519,7.261730093948644,87.290068,8.49357632459246
41,4/10,tempo_prezzo.csv,0.004818546482898648,0.07785438173534695,0.16010642186689603,47.15006483555346,9.832316481465025,97.638638,9.044019741718069
42,5/10,tempo_prezzo.csv,0.0032938794753849887,0.07845941824879385,0.1744341251706467,71.28600777753319,9.05763453240254,156.119224,14.895694218914825
43,6/10,tempo_prezzo.csv,0.001637393690145643,0.06923420857230034,0.1747491323875641,151.2275723703067,26.366326254479393,298.114506,27.9863907815234
44,7/10,tempo_prezzo.csv,0.0020668884732141526,0.09489935237310806,0.1384576941007842,126.51283388377078,12.75029909051825,217.093716,17.50545334693717
45,8/10,tempo_prezzo.csv,0.002353766056219177,0.08338036447895525,0.1490366233335394,93.74254495788753,12.014150497636187,193.766884,17.544312571480457
46,11/10,tempo_prezzo.csv,0.0032896138628068458,0.10112697988713153,0.18150375246712017,71.08870281010502,6.142190827531891,166.409698,15.985037739801026
